source,destination,status
/send-rakhi-to-miramar,/gifts-to-miramar,301
/send-rakhi-to-coral-springs,/gifts-to-coral-springs,301
/send-rakhi-to-palm-bay,/gifts-to-palm-bay,301
/send-rakhi-to-west-palm-beach,/gifts-to-west-palm-beach,301
/send-rakhi-to-clearwater,/gifts-to-clearwater,301
/send-rakhi-to-lakeland,/gifts-to-lakeland,301
/send-rakhi-to-pompano-beach,/gifts-to-pompano-beach,301
/send-rakhi-to-boca-raton,/gifts-to-boca-raton,301
/send-rakhi-to-naples,/gifts-to-naples,301
/send-rakhi-to-sarasota,/gifts-to-sarasota,301
/send-rakhi-to-kissimmee,/gifts-to-kissimmee,301
/send-rakhi-to-fort-myers,/gifts-to-fort-myers,301
/send-rakhi-to-bradenton,/gifts-to-bradenton,301
/send-rakhi-to-ocala,/gifts-to-ocala,301
/send-rakhi-to-doral,/gifts-to-doral,301
/send-rakhi-to-sunrise,/gifts-to-sunrise,301
/send-rakhi-to-plantation,/gifts-to-plantation,301
/send-rakhi-to-delray-beach,/gifts-to-delray-beach,301
/send-rakhi-to-jupiter,/gifts-to-jupiter,301
/send-rakhi-to-weston,/gifts-to-weston,301
/send-rakhi-to-wellington,/gifts-to-wellington,301
/send-rakhi-to-melbourne,/gifts-to-melbourne,301
/send-rakhi-to-daytona-beach,/gifts-to-daytona-beach,301
/send-rakhi-to-winter-garden,/gifts-to-winter-garden,301
/send-rakhi-to-windermere,/gifts-to-windermere,301
/send-rakhi-to-atlanta,/gifts-to-atlanta,301
/send-rakhi-to-augusta,/gifts-to-augusta,301
/send-rakhi-to-columbus,/gifts-to-columbus,301
/send-rakhi-to-savannah,/gifts-to-savannah,301
/send-rakhi-to-athens,/gifts-to-athens,301
/send-rakhi-to-sandy-springs,/gifts-to-sandy-springs,301
/send-rakhi-to-roswell,/gifts-to-roswell,301
/send-rakhi-to-macon,/gifts-to-macon,301
/send-rakhi-to-johns-creek,/gifts-to-johns-creek,301
/send-rakhi-to-albany,/gifts-to-albany,301
/send-rakhi-to-warner-robins,/gifts-to-warner-robins,301
/send-rakhi-to-alpharetta,/gifts-to-alpharetta,301
/send-rakhi-to-marietta,/gifts-to-marietta,301
/send-rakhi-to-smyrna,/gifts-to-smyrna,301
/send-rakhi-to-duluth,/gifts-to-duluth,301
/send-rakhi-to-suwanee,/gifts-to-suwanee,301
/send-rakhi-to-lawrenceville,/gifts-to-lawrenceville,301
/send-rakhi-to-kennesaw,/gifts-to-kennesaw,301
/send-rakhi-to-peachtree-city,/gifts-to-peachtree-city,301
/send-rakhi-to-honolulu,/gifts-to-honolulu,301
/send-rakhi-to-hilo,/gifts-to-hilo,301
/send-rakhi-to-kailua,/gifts-to-kailua,301
/send-rakhi-to-pearl-city,/gifts-to-pearl-city,301
/send-rakhi-to-boise,/gifts-to-boise,301
